fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-24,landsat-8,20.08,LC08_L2SP_232086_20260324_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-03-23,landsat-9,2.63,LC09_L2SP_233086_20260323_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-03-16,landsat-9,14.69,LC09_L2SP_232086_20260316_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-03-08,landsat-8,2.45,LC08_L2SP_232086_20260308_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-03-07,landsat-9,17.51,LC09_L2SP_233086_20260307_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-28,landsat-9,38.08,LC09_L2SP_232086_20260228_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-27,landsat-8,39.81,LC08_L2SP_233086_20260227_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-20,landsat-8,48.47,LC08_L2SP_232086_20260220_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-19,landsat-9,0.08,LC09_L2SP_233086_20260219_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-12,landsat-9,3.06,LC09_L2SP_232086_20260212_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-11,landsat-8,20.42,LC08_L2SP_233086_20260211_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-04,landsat-8,81.78,LC08_L2SP_232086_20260204_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-03,landsat-9,85.84,LC09_L2SP_233086_20260203_02_T1,ok,ok,ok,2026-04-04 22:37,L2
2026-02-04,landsat-8,81.78,LC08_L2SP_232086_20260204_02_T1,ok,ok,ok,2026-04-05 05:43,L2
2026-04-08,landsat-9,29.18,LC09_L2SP_233086_20260408_02_T1,ok,ok,ok,2026-04-09 20:40,L2
2026-05-03,landsat-9,47.53,LC09_L2SP_232086_20260503_02_T1,ok,ok,ok,2026-05-05 11:10,L2
2026-04-24,landsat-9,29.7,LC09_L2SP_233086_20260424_02_T1,ok,ok,ok,2026-05-20 12:17,L2
2026-04-25,Landsat 8,0.75,LC08_L1TP_232086_20260425_20260426_02_T1,ok,ok,ok,2026-05-22 12:12,L1
2026-05-19,LC09_L2SP_232086_20260519_20260520_02_T1,1,LC09_L2SP_232086_20260519_20260520_02_T1,ok,ok,ok,2026-05-26 16:42,L2
2026-05-11,LC08_L2SP_232086_20260511_20260515_02_T1,1,LC08_L2SP_232086_20260511_20260515_02_T1,ok,ok,ok,2026-05-26 16:43,L2
2026-05-10,LC09_L2SP_233086_20260510_20260511_02_T1,2,LC09_L2SP_233086_20260510_20260511_02_T1,ok,ok,ok,2026-05-26 16:43,L2
2026-05-02,LC08_L2SP_233086_20260502_20260514_02_T1,1,LC08_L2SP_233086_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:43,L2
2026-05-26,LC09_L2SP_233086_20260526_20260527_02_T1,19,LC09_L2SP_233086_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:03,L2
2026-05-18,LC08_L2SP_233086_20260518_20260528_02_T1,3,LC08_L2SP_233086_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:49,L2
2026-05-27,LC08_L2SP_232086_20260527_20260604_02_T1,55,LC08_L2SP_232086_20260527_20260604_02_T1,ok,ok,ok,2026-06-05 09:06,L2
2026-06-04,LC09_L2SP_232086_20260604_20260605_02_T1,85,LC09_L2SP_232086_20260604_20260605_02_T1,ok,ok,ok,2026-06-07 20:59,L2
2026-06-11,LC09_L1TP_233086_20260611_20260611_02_T1,73,LC09_L1TP_233086_20260611_20260611_02_T1,ok,ok,ok,2026-06-12 19:07,L1
2026-06-03,LC08_L1TP_233086_20260603_20260603_02_RT,78,LC08_L1TP_233086_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 19:08,L1
2026-06-12,LC08_L1TP_232086_20260612_20260612_02_RT,78,LC08_L1TP_232086_20260612_20260612_02_RT,ok,ok,ok,2026-06-12 21:07,L1
2026-06-03,LC08_L2SP_233086_20260603_20260612_02_T1,78,LC08_L2SP_233086_20260603_20260612_02_T1,ok,ok,ok,2026-06-13 13:30,L2
2026-06-11,LC09_L2SP_233086_20260611_20260613_02_T1,73,LC09_L2SP_233086_20260611_20260613_02_T1,ok,ok,ok,2026-06-13 23:13,L2
2026-06-12,LC08_L2SP_232086_20260612_20260618_02_T1,78,LC08_L2SP_232086_20260612_20260618_02_T1,ok,ok,ok,2026-06-18 22:58,L2
2026-06-19,LC08_L1TP_233086_20260619_20260619_02_RT,71,LC08_L1TP_233086_20260619_20260619_02_RT,ok,ok,ok,2026-06-20 10:04,L1
2026-06-20,LC09_L1TP_232086_20260620_20260620_02_T1,20,LC09_L1TP_232086_20260620_20260620_02_T1,ok,ok,ok,2026-06-20 21:07,L1
2026-06-20,LC09_L2SP_232086_20260620_20260623_02_T1,20,LC09_L2SP_232086_20260620_20260623_02_T1,ok,ok,ok,2026-06-23 10:34,L2
2026-06-27,LC09_L1TP_233086_20260627_20260627_02_T1,63,LC09_L1TP_233086_20260627_20260627_02_T1,ok,ok,ok,2026-06-28 17:02,L1
2026-06-19,LC08_L2SP_233086_20260619_20260627_02_T1,71,LC08_L2SP_233086_20260619_20260627_02_T1,ok,ok,ok,2026-06-28 22:00,L2
2026-06-27,LC09_L2SP_233086_20260627_20260628_02_T1,63,LC09_L2SP_233086_20260627_20260628_02_T1,ok,ok,ok,2026-06-29 00:04,L2
2026-06-28,LC08_L1TP_232086_20260628_20260628_02_RT,36,LC08_L1TP_232086_20260628_20260628_02_RT,ok,ok,ok,2026-06-29 07:29,L1
2026-07-05,LC08_L1TP_233086_20260705_20260705_02_RT,34,LC08_L1TP_233086_20260705_20260705_02_RT,ok,ok,ok,2026-07-06 11:25,L1
2026-07-06,LC09_L1TP_232086_20260706_20260706_02_T1,83,LC09_L1TP_232086_20260706_20260706_02_T1,ok,ok,ok,2026-07-07 07:34,L1
2026-07-06,LC09_L2SP_232086_20260706_20260707_02_T1,83,LC09_L2SP_232086_20260706_20260707_02_T1,ok,ok,ok,2026-07-07 23:57,L2
2026-06-28,LC08_L2SP_232086_20260628_20260707_02_T1,36,LC08_L2SP_232086_20260628_20260707_02_T1,ok,ok,ok,2026-07-08 20:29,L2
2026-07-13,LC09_L1GT_233086_20260713_20260713_02_T2,100,LC09_L1GT_233086_20260713_20260713_02_T2,ok,ok,ok,2026-07-14 07:08,L1
2026-07-13,LC09_L2SP_233086_20260713_20260714_02_T2,100,LC09_L2SP_233086_20260713_20260714_02_T2,ok,ok,ok,2026-07-14 13:08,L2
2026-07-14,LC08_L1TP_232086_20260714_20260714_02_RT,95,LC08_L1TP_232086_20260714_20260714_02_RT,ok,ok,ok,2026-07-14 21:49,L1
2026-07-05,LC08_L2SP_233086_20260705_20260716_02_T1,34,LC08_L2SP_233086_20260705_20260716_02_T1,ok,ok,ok,2026-07-17 21:08,L2
2026-07-21,LC08_L1GT_233086_20260721_20260721_02_RT,100,LC08_L1GT_233086_20260721_20260721_02_RT,ok,ok,ok,2026-07-22 07:34,L1
2026-07-22,LC09_L1TP_232086_20260722_20260722_02_T1,73,LC09_L1TP_232086_20260722_20260722_02_T1,ok,ok,ok,2026-07-23 05:09,L1
2026-07-14,LC08_L2SP_232086_20260714_20260722_02_T1,95,LC08_L2SP_232086_20260714_20260722_02_T1,ok,ok,ok,2026-07-23 05:09,L2
2026-07-22,LC09_L2SP_232086_20260722_20260723_02_T1,73,LC09_L2SP_232086_20260722_20260723_02_T1,ok,ok,ok,2026-07-23 16:30,L2
2026-07-21,LC08_L2SP_233086_20260721_20260725_02_T2,100,LC08_L2SP_233086_20260721_20260725_02_T2,ok,ok,ok,2026-07-26 12:58,L2
2026-07-29,LC09_L1GT_233086_20260729_20260729_02_T2,100,LC09_L1GT_233086_20260729_20260729_02_T2,ok,ok,ok,2026-07-30 07:32,L1
2026-07-29,LC09_L2SP_233086_20260729_20260730_02_T2,100,LC09_L2SP_233086_20260729_20260730_02_T2,ok,ok,ok,2026-07-30 15:06,L2
2026-07-30,LC08_L1TP_232086_20260730_20260730_02_RT,84,LC08_L1TP_232086_20260730_20260730_02_RT,ok,ok,ok,2026-07-30 20:16,L1
2026-08-06,LC08_L1TP_233086_20260806_20260806_02_RT,11,LC08_L1TP_233086_20260806_20260806_02_RT,ok,ok,ok,2026-08-06 22:47,L1
2026-08-07,LC09_L1TP_232086_20260807_20260807_02_T1,31,LC09_L1TP_232086_20260807_20260807_02_T1,ok,ok,ok,2026-08-08 05:38,L1
2026-08-07,LC09_L2SP_232086_20260807_20260808_02_T1,31,LC09_L2SP_232086_20260807_20260808_02_T1,ok,ok,ok,2026-08-08 20:21,L2
2026-07-30,LC08_L2SP_232086_20260730_20260811_02_T1,84,LC08_L2SP_232086_20260730_20260811_02_T1,ok,ok,ok,2026-08-12 05:31,L2
2026-08-06,LC08_L2SP_233086_20260806_20260812_02_T1,11,LC08_L2SP_233086_20260806_20260812_02_T1,ok,ok,ok,2026-08-13 10:07,L2
2026-08-14,LC09_L1TP_233086_20260814_20260814_02_T1,71,LC09_L1TP_233086_20260814_20260814_02_T1,ok,ok,ok,2026-08-14 22:17,L1
2026-08-14,LC09_L2SP_233086_20260814_20260815_02_T1,71,LC09_L2SP_233086_20260814_20260815_02_T1,ok,ok,ok,2026-08-15 17:16,L2
2026-08-15,LC08_L1TP_232086_20260815_20260815_02_RT,80,LC08_L1TP_232086_20260815_20260815_02_RT,ok,ok,ok,2026-08-16 07:28,L1
2026-08-22,LC08_L1TP_233086_20260822_20260822_02_RT,22,LC08_L1TP_233086_20260822_20260822_02_RT,ok,ok,ok,2026-08-23 07:30,L1
2026-08-23,LC09_L1TP_232086_20260823_20260823_02_T1,72,LC09_L1TP_232086_20260823_20260823_02_T1,ok,ok,ok,2026-08-23 23:15,L1
2026-08-15,LC08_L2SP_232086_20260815_20260823_02_T1,80,LC08_L2SP_232086_20260815_20260823_02_T1,ok,ok,ok,2026-08-24 16:31,L2
2026-08-23,LC09_L2SP_232086_20260823_20260824_02_T1,72,LC09_L2SP_232086_20260823_20260824_02_T1,ok,ok,ok,2026-08-24 20:25,L2
2026-08-30,LC09_L1TP_233086_20260830_20260830_02_T1,75,LC09_L1TP_233086_20260830_20260830_02_T1,ok,ok,ok,2026-08-31 09:03,L1
2026-08-30,LC09_L2SP_233086_20260830_20260831_02_T1,75,LC09_L2SP_233086_20260830_20260831_02_T1,ok,ok,ok,2026-08-31 16:42,L2
2026-08-31,LC08_L1TP_232086_20260831_20260831_02_RT,57,LC08_L1TP_232086_20260831_20260831_02_RT,ok,ok,ok,2026-08-31 21:46,L1
2026-08-22,LC08_L2SP_233086_20260822_20260902_02_T1,22,LC08_L2SP_233086_20260822_20260902_02_T1,ok,ok,ok,2026-09-03 19:07,L2
