fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-22,landsat-8,12.37,LC08_L2SP_001074_20260322_02_T1,ok,ok,ok,2026-04-04 22:25,L2
2026-03-14,landsat-9,3.18,LC09_L2SP_001074_20260314_02_T1,ok,ok,ok,2026-04-04 22:25,L2
2026-03-06,landsat-8,2.46,LC08_L2SP_001074_20260306_02_T1,ok,ok,ok,2026-04-04 22:26,L2
2026-02-26,landsat-9,1.16,LC09_L2SP_001074_20260226_02_T1,ok,ok,ok,2026-04-04 22:26,L2
2026-02-18,landsat-8,18.6,LC08_L2SP_001074_20260218_02_T1,ok,ok,ok,2026-04-04 22:26,L2
2026-02-10,landsat-9,6.12,LC09_L2SP_001074_20260210_02_T1,ok,ok,ok,2026-04-04 22:26,L2
2026-05-01,Landsat 9,3.51,LC09_L1TP_001074_20260501_20260501_02_T1,ok,ok,ok,2026-05-22 12:12,L1
2026-05-17,LC09_L2SP_001074_20260517_20260518_02_T1,3,LC09_L2SP_001074_20260517_20260518_02_T1,ok,ok,ok,2026-05-26 16:30,L2
2026-05-09,LC08_L2SP_001074_20260509_20260515_02_T1,3,LC08_L2SP_001074_20260509_20260515_02_T1,ok,ok,ok,2026-05-26 16:30,L2
2026-05-02,LC08_L2SP_233074_20260502_20260514_02_T1,27,LC08_L2SP_233074_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:30,L2
2026-06-02,LC09_L2SP_001074_20260602_20260603_02_T1,4,LC09_L2SP_001074_20260602_20260603_02_T1,ok,ok,ok,2026-06-05 09:02,L2
2026-05-25,LC08_L2SP_001074_20260525_20260603_02_T1,3,LC08_L2SP_001074_20260525_20260603_02_T1,ok,ok,ok,2026-06-05 09:03,L2
2026-06-10,LC08_L1TP_001074_20260610_20260610_02_T1,4,LC08_L1TP_001074_20260610_20260610_02_T1,ok,ok,ok,2026-06-12 18:58,L1
2026-06-10,LC08_L2SP_001074_20260610_20260618_02_T1,4,LC08_L2SP_001074_20260610_20260618_02_T1,ok,ok,ok,2026-06-18 17:54,L2
2026-06-18,LC09_L1TP_001074_20260618_20260618_02_T1,2,LC09_L1TP_001074_20260618_20260618_02_T1,ok,ok,ok,2026-06-18 22:52,L1
2026-06-18,LC09_L2SP_001074_20260618_20260622_02_T1,2,LC09_L2SP_001074_20260618_20260622_02_T1,ok,ok,ok,2026-06-23 06:40,L2
2026-06-26,LC08_L1TP_001074_20260626_20260626_02_RT,15,LC08_L1TP_001074_20260626_20260626_02_RT,ok,ok,ok,2026-06-28 06:51,L1
2026-07-04,LC09_L1TP_001074_20260704_20260704_02_T1,48,LC09_L1TP_001074_20260704_20260704_02_T1,ok,ok,ok,2026-07-04 21:47,L1
2026-07-04,LC09_L2SP_001074_20260704_20260705_02_T1,48,LC09_L2SP_001074_20260704_20260705_02_T1,ok,ok,ok,2026-07-05 14:25,L2
2026-06-26,LC08_L2SP_001074_20260626_20260707_02_T1,15,LC08_L2SP_001074_20260626_20260707_02_T1,ok,ok,ok,2026-07-08 20:23,L2
2026-07-12,LC08_L1TP_001074_20260712_20260712_02_RT,5,LC08_L1TP_001074_20260712_20260712_02_RT,ok,ok,ok,2026-07-13 08:41,L1
2026-07-20,LC09_L1TP_001074_20260720_20260720_02_T1,3,LC09_L1TP_001074_20260720_20260720_02_T1,ok,ok,ok,2026-07-21 07:27,L1
2026-07-20,LC09_L2SP_001074_20260720_20260721_02_T1,3,LC09_L2SP_001074_20260720_20260721_02_T1,ok,ok,ok,2026-07-21 14:54,L2
2026-07-12,LC08_L2SP_001074_20260712_20260720_02_T1,5,LC08_L2SP_001074_20260712_20260720_02_T1,ok,ok,ok,2026-07-21 14:55,L2
2026-07-28,LC08_L1TP_001074_20260728_20260728_02_RT,4,LC08_L1TP_001074_20260728_20260728_02_RT,ok,ok,ok,2026-07-29 07:37,L1
2026-07-28,LC08_L2SP_001074_20260728_20260801_02_T1,4,LC08_L2SP_001074_20260728_20260801_02_T1,ok,ok,ok,2026-08-02 18:49,L2
2026-08-05,LC09_L1TP_001074_20260805_20260805_02_T1,5,LC09_L1TP_001074_20260805_20260805_02_T1,ok,ok,ok,2026-08-06 07:31,L1
2026-08-05,LC09_L2SP_001074_20260805_20260806_02_T1,5,LC09_L2SP_001074_20260805_20260806_02_T1,ok,ok,ok,2026-08-06 15:06,L2
2026-08-13,LC08_L1TP_001074_20260813_20260813_02_RT,3,LC08_L1TP_001074_20260813_20260813_02_RT,ok,ok,ok,2026-08-13 22:29,L1
2026-08-13,LC08_L2SP_001074_20260813_20260817_02_T1,3,LC08_L2SP_001074_20260813_20260817_02_T1,ok,ok,ok,2026-08-17 14:17,L2
2026-08-21,LC09_L1TP_001074_20260821_20260821_02_T1,4,LC09_L1TP_001074_20260821_20260821_02_T1,ok,ok,ok,2026-08-22 06:18,L1
2026-08-21,LC09_L2SP_001074_20260821_20260822_02_T1,4,LC09_L2SP_001074_20260821_20260822_02_T1,ok,ok,ok,2026-08-22 17:11,L2
2026-08-29,LC08_L1TP_001074_20260829_20260829_02_RT,4,LC08_L1TP_001074_20260829_20260829_02_RT,ok,ok,ok,2026-08-29 22:52,L1
